序号,论文标题,作者,期刊,年份,页码,DOI
180,Ultralong durability of ethanol oxidation reaction via morphological design,"Dongmeng Su, Zhenhui Lam,Yawen Wang, Fei Han, Mengmeng Zhang, Bin Liu*, Hongyu Chen*",Joule,2023,Online,https:// doi.org/10.1016/j.joule.2023.09.008
,,,,,,
,,,,,,
,,,,,,
179,Measuring Solvent Exchange in Silica Nanoparticles with Rotor-based Fluorophore,"Xuejun Cheng, Yingming Pu, Songtao Ye, Xiao Xiao , Xin Zhang, Hongyu Chen*",Advanced Materials,2023,Online,10.1002/adma.202305779
178,Gold nanohexagrams via active surface growth under sole CTAB control,"An Su, Qian Wang, Liping Huang, Yonglong Zheng, Yawen Wang and Hongyu Chen*",Nanoscale,2023,"15(36), 14858-14865",DOI: 10.1039/d3nr03006g
177,Strong Ligand Control for Noble Metal Nanostructures,"Ruixue Xiao, Jia Jia, Ruoxu Wang, Yuhua Feng* and Hongyu Chen*",Accounts of Chemical Research,2023,"56(12),1539-1552","2023, https://doi.org/10.1021/acs.accounts.3c00119"
176,“Liquid-on-Solid Heterogeneous Nucleation for a General Synthesis of Yolk-Shell Nanostructures”,"Huiying Guo, Huai Lin, Zhouling Wu, Ruoxu Wang* and Hongyu Chen*",Chemical Communications,2023,"59(45), 6897-6900",DOI: 10.1039/x0xx00000x
,,,,,,
175,“Engineering the inter-island plasmonic coupling in homometallic Au-Aun core-satellite structures”,"Xiaoying Wu, Xiaoli Tian, Zihe Jiang, Yun Wang, Tingting Jiang, Yuhua Feng*, Zhenglong Zhang*, Hongyu Chen*",Nano Research,2023,"16(7), 10690-10697",https://doi.org/10.1007/s12274-023-5732-9
,,,,,,
174,“A General Method for Precise Chain Assembly of Noble Metal Nanoparticles”  ,"Xudong Peng, Mengmeng Zhang, Feng Xue, Aodi Zhang, Yue Xu,Yi Huang, Hong Wang* and Hongyu Chen*",Materials Chemistry Frontiers,2023,"7(15), 3073-3081",10.1039/d3qm00229b
,,,,,,
173,“Combining the Curvature and Ligand Effects for Regioselective Growth on Au Nano-bipyramids”,"Tingting Jiang, Jianpeng Zong, Yuhua Feng* and Hongyu Chen*",Precision Chemistry,2023,"1(2), 94-99",https://doi.org/10.1021/prechem.2c00008
172,“Chiral Active Surface Growth via Glutathione Control”,"Yonglong Zheng, Qian Wang, Yiwen Sun, Jie Huang, Jin Ji, Zhu-Jun Wang, Yawen Wang*, Hongyu Chen*",Advanced Optical Materials,2023,"11(18), 2202858",DOI: 10.1002/adom.202202858
171,“Regio-selective Growth of Plates on Au Nanorods”,"Mengmeng Zhang, Yuntao Wang, Xudong Peng, Hong Wang*, Hongyu Chen*",Materials Today Chemistry,2023,"30, 101516",DOI10.1016/j.mtchem.2023.101516
170,“A Facile Route to Janus Nanorods via Redox-Assisted Ripening”,"Yiwei Sun, Dongfu Wang, Zhouling Wu, Jie Huang, Hongyu Chen*, Xueyang Liu*",Materials Chemistry Frontiers,2023,"7(4), 728-734",10.1039/d2qm01109c
169,“Inorganic-Organic Coprecipitation: Spontaneous Formation of Enclosed and Porous Silica Compartments with Enriched Biopolymers”,"Xuejun Cheng, Jie Huang, Ruoxu Wang, Yue Xu, Nan Wu, Jie Zhou*, Xueyang Liu*, Hong Wang*, Hongyu Chen*",Nanoscale,2023,"15(5), 2394-2401",10.1039/d2nr05320a
168,“Exploring the Generality of Ligands for Silica-Encapsulated Nanoclusters as SERS Labels”,"Aodi Zhang, Yusai Zhou, Feng Xue, Xudong Peng, Hongyu Chen, Hong Wang*",Journal of Colloid And Interface Science,2023,"635, 43-49",10.1016/j.jcis.2022.12.099
167,“Study of Nanoparticle–Polymer Interactions via the Mechanical Stretching of Surface-Enhanced Raman Scattering Substrates”,"Wenwen Xin, Jie Huang, Qiuxian Chen, Yiwei Sun, Hongyu Chen, Xueyang Liu*",Macromolecular Rapid Communications,2022,2200541,10.1002/marc.202200541
166,“Electrospun Fiber as a Facile Means of Studying Silver Nanowires under Mechanical Stretching”,"Jie Huang, Guangyu He, Yuxiong Hu, Yiwei Sun, Dongfu Wang, Zhu-Jun Wang*, Xueyang Liu*, Hongyu Chen*",Small Science,2022,"3(1), 2200069",https://doi.org/10.1002/smsc.202200069
165,“Aerobic Electrochemical Csp3–N Coupling between Aliphatic Carboxylic Acids and N-heterocycles”,"Ruonan Chen, Hongyan Yuan, Yawen Wang, Hongyu Chen and Yanhua Zhang*",Organometallics,2022,"42(1), 1–5",10.1021/acs.organomet.2c00455
164,“Coalescence of Au–Pd Nanoropes and their Application as Enhanced Electrocatalysts for the Oxygen Reduction Reaction”,"Jialong Yu, Hui Jin, Qian Wang, Xiaoliang Wei, Hongyu Chen and Yawen Wang*",Small,2022,"18(44), 2203458",10.1002/smll.202203458
163,“Self-templating synthesis of Pd4S hollow nanospheres as electrocatalysts for oxygen reduction reaction”,"Qian Wang, Donghui Zhao, Jialong Yu, Lijie Shi, Yawen Wang* and Hongyu Chen*",Nano Research,2022,"16, 2597-2603",10.1007/s12274-022-5052-5
162,“Enhancing the Mechanical Robustness of Gold Nanowire Array via Sulfide-Mediated Growth”,"Dongmeng Su, Zhenhui Lam, Yonglong Zheng, Yawen Wang, Bin Liu* and Hongyu Chen*",Small Structures,2022,"3(7), 2200014",10.1002/sstr.202200014
161,“Serrated Au Nanoplates via the Sharpening Etching Mode”,"Bowen He, Yuntao Wang, Mengmeng Zhang, Yue Xu, Yonglong Zheng, Xi Liu, Hong Wang* and Hongyu Chen*",Chemistry of Materials,2022,"34(18), 8213-8218",10.1021/acs.chemmater.2c01521
160,“In silico Investigation on the Twisting of Gold Nanowires”,"Guangyu He, Ruoxu Wang, Jie Fan, Shi Liu, Hongyu Chen*",Materials Today Communications,2022,"33, 104319",10.1016/j.mtcomm.2022.104319
159,“Exploring the Generality of PVP-Assisted Phase Transfer of Nanoparticles”,"Feng Xue, Aodi Zhang, Xudong Peng, Shiyan Zhou, Guoxu Feng, Hongyu Chen, Hong Wang*",Advanced Materials Interfaces,2022,"9(32), 2201538",10.1002/admi.202201538
158,“Alkynyl ligands-induced growth of ultrathin nanowires arrays” ,"Xi Wang, MD Golam Moula, Guangyu He, Hui Jin, Dongmeng Su, Jianpeng Zong, Yanhua Zhang, Hongyu Chen, Yawen Wang*",Journal of Colloid and Interface Science,2022,"627, 640-649",10.1016/j.jcis.2022.07.049
157,“Controllable synthesis of gold nanoparticle dimers via site-selective growth”,"Mengmeng Zhang‡, Yue Xu‡, Xudong Peng, Hongyu Chen and Hong Wang*",Chemical Communications,2022,"58(57), 7932-7935",10.1039/d2cc00801g
156,“Improving the Photostability of [Ru(bpy)(3)](2+) by Embedment in Silica”,"Jingjing Wang, Shiyan Zhou, Bo Li, Xueyang Liu*, Hongyu Chen, Hong Wang*",ChemPhotoChem,2022,"6(10), e202200124",10.1002/cptc.202200124
155,“Turning Weak into Strong: On the CTAB-Induced Active Surface Growth”,"Yonglong Zheng, Jianpeng Zong, Ting Xiang, Quan Ren, Dongmeng Su, Yuhua Feng, Yawen Wang & Hongyu Chen*",Science China Chemistry,2022,"65(7), 1299-1305",10.1007/s11426-022-1253-7
154,“Understanding the Evolution of Tunable Spiral Threads in Homochiral Au Nano-Screws”,"Shenghao Yang, Hongyan Li, Ruirui Liu, Cheng Wang, Jialong Yu, Shumin Li, Yawen Wang* and Hongyu Chen*",Inorganic Chemistry Frontiers,2022,"9(16), 4136-4141",10.1039/d2qi00396a
153,“From flat to deep concave: an unusual mode of facet control”,"Shenghao Yang, Yonglong Zheng, Guangyu He, Mengmeng Zhang, Hongyan Li, Yawen Wang* and Hongyu Chen*",Chemical Communications,2022,"58(41), 6128-6131",10.1039/d2cc01221a
152,“Tuning Au–Cu Janus Structures through Strong Ligand-Mediated Interfacial Energy Control”,"Xu Fan, Senyuan An, Jia Jia, Wenjia Xu, Xiaoying Wu, Jianpeng Zong, Yun Wang, Hongyu Chen and Yuhua Feng*",Chemistry of Materials,2022,"34(13), 6057-6067",10.1021/acs.chemmater.2c01155
151,“Continuous tuning the wetting growth of Au on Se nanoparticles”,"Shuaipeng Chen, Shuaibin Li, Yun Wang, Quan Ren, Yuhua Feng*, Hongyu Chen",Journal of Colloid and Interface Science,2022,"618(15), 451-461",10.1016/j.jcis.2022.03.058
150,“Monitoring the rapid nanocrystal transformation via trapped intermediates of silica encapsulation”,"Ruoxu Wang, Qian Wang, Huiying Guo & Hongyu Chen*",Science China Materials,2022,"65(7), 1963-1970",10.1007/s40843-021-1930-5
149,“The Patchy Growth Mode: Modulation of the Au-Au Interface via Phenynyl Ligands”,"Jianpeng Zong, Quan Ren, Xiaoli Tian, Ting Xiang, Yuhua Feng and Hongyu Chen*",Science China Materials,2022,"65(6), 1687-1695",10.1007/s40843-021-1942-6
148,“Electrochemical Catalytic Hydrocarbonylation of Arylacetylenes”,"Jiaoyan Zhao, Hongyan Yuan, Ruonan Chen, Hongyu Chen and Yanhua Zhang*",Asian Journal of Organic Chemistry,2022,"11(2), e202100681 (1 of 4)",10.1002/ajoc.202100681
147,“Synthesis of Piperazine Quaternary Ammonium Alkali Catalyst and Its Application in Isocyanate Polymerization”,"Xintong Xu, Weimin Tan*, Mengyuan Ji, Yue Yang, Xingxing Rao, Xinliang Luo, Yanhua Zhang*, Hongyu Chen",Acta Chimica Sinica,2021,"79(9), 1113-1117",10.6023/A21060300
146,“Synthesis of Substrate-bound Seaweed-like Au Nanowires with Amino Silane Coupling Agents”,"Jialong Yu, Weiyu Wang, Shumin Li, Beibei Yu, Hongyu Chen and Yawen Wang*",Chemical Communications,2021,"58(7), 989-992",10.1039/d1cc05081h
145,“Facile Synthesis of Pd and PdPtNi Trimetallic Nanosheets as Enhanced Oxygen Reduction Electrocatalysts”,"Lijie Shi, Qian Wang, Quan Ren, Qian Yang, Donghui Zhao, Yuhua Feng, Yawen Wang*, Hongyu Chen",Small,2021,"18(3), 2103665",10.1002/smll.202103665
144,“Partial Silica Encapsulation of Fe3O4 Nanoparticles in Reverse Emulsion by Internal Energy Modulation”,"Jianpeng Zong, Xiaohui Song, Ruoxu Wang, Wenjia Xu, Weiwei Zhou, ShuaibinLi, Yuhua Feng* and Hongyu Chen*",Chemistry of Materials,2021,"33(21), 8460-8468",10.1021/acs.chemmater.1c02887
143,“In Situ Precise Tuning of Bimetallic Electronic Effect for Boosting Oxygen Reduction Catalysis”,"Junming Zhang, Weichang Xu, Yuan Liu, Sung-Fu Hung, Wei Liu, Zhenhui Lam, Hua Bing Tao, Hongbin Yang, Weizheng Cai, Hai Xiao, Hongyu Chen*, Bin Liu*",Nano Letters,2021,"21(18), 7753-7760",10.1021/acs.nanolett.1c02705
142,“Engineering the Spatial Arrangement of Au−C60 Heterostructures”,"Wenjia Xu, Shuaipeng Chen, Ruixue Xiao, Jianpeng Zong, Yuhua Feng* and Hongyu Chen*",Chemistry of Materials,2021,"33(13), 5268-5275",10.1021/acs.chemmater.1c01360
141,“Designing caps for colloidal Au nanoparticles”,"Xiaoli Tian, Jianpeng Zong, Yusai Zhou, Dapeng Chen, Jia Jia, Shuaibin Li, Xiaochen Dong, Yuhua Feng* and Hongyu Chen*",Chemical Science,2021,"12(10), 3644-3650",10.1039/d0sc05780k
140,“Probing the ligand exchange kinetics of phenynyl-based ligands on colloidal Au nanoparticles”,"Ting Xiang, Jianpeng Zong, Wenjia Xu, Yuhua Feng* and Hongyu Chen*",Materials Chemistry Frontiers,2021,"5(1), 465-471",10.1039/d0qm00612b
139,“Template-less Synthesis of Coded Au Nanowires”,"Xuesong Wu, Hongyan Li, Weiyu Wang, Dongmeng Su, Xi Wang, Xiaolin Tao, Yawen Wang*, Hongyu Chen*",Nano Letters,2021,"21(2), 1156-1160",10.1021/acs.nanolett.0c04678
138,“Noble Metal Nanowire Array as Ethanol Oxidation Electrocatalyst”,"Zhenhui Lam, Cuicui Liu, Dongmeng Su, Huabing Tao, Hsin-Yi Wang, Jiazang Chen, Weichang Xu, Liping Zhang, Yihan Zhu, Lingmei Liu, Yu Han, Hongyu Chen*, Bin Liu*",Nanoscale Advances,2021,"3(1), 177-181",10.1039/d0na00804d
137,“Liquid nanoparticles: manipulating the nucleation and growth of nanoscale droplets”,"Ruoxu Wang, Fei Han, Bo Chen, Lingmei Liu, Shaoyan Wang, Hua Zhang, Yu Han, Hongyu Chen*",Angewandte Chemie-International Edition,2021,"60(6), 3047-3054",10.1002/anie.202012564
136,“On the Exceptionally High Loading of L-Proline on Multi-Wall Carbon Nanotubes”,"Jiafang Xu, Jichao Liang, Sheng Huang, Ge Yang, Keyi Tian, Ruonan Chen, Hongyu Chen and Yanhua Zhang*",Catalysts,2020,"10(11), 1246",10.3390/catal10111246
135,“Ultrasonic Bending of Silver Nanowires Nanowires”,"Qiuxian Chen, Wenwen Xin, Qiaozhen Ji, Ting Hu, Jun Zhang, Cheng Shang, Zhipan Liu, Xueyang Liu*, Hongyu Chen*",ACS Nano,2020,"14(11), 15286–15292",10.1021/acsnano.0c05601
134,“On the Effect of Fe Oleate By-product in Nano-stirbar Synthesis”,"Ting Hu, Qiaozhen Ji, Wen Han Chong, Wenwen Xin, Xueyang Liu* and Hongyu Chen*",Nanoscale,2020,"12(36), 18640-18645",10.1039/d0nr04453a
133,“Scalable and Continuous Preparation of Nano-stirbars by Electrospinning”,"Qiaozhen Ji, Ting Hu, Qiuxian Chen, Wenwen Xin, Xueyang Liu* and Hongyu Chen*",Chemical Communications,2020,"56(79), ‏11767-11770",10.1039/d0cc04408c
132,“Solvent exchange as a synthetic handle for controlling molecular crystals”,"Shaoyan Wang, Zhuangchai Lai, Thu Ha Tran, Fei Han, Dongmeng Su, Ruoxu Wang, Hua Zhang, Hong Wang, Hongyu Chen*",Carbon,2020,"160, 188-195",10.1016/j.carbon.2019.11.028
131,“Continuous Tuning of the Au-Cu2O Janus Nanostructures for Efficient Charge Separation”,"Wenjia Xu, Jia Jia, Ti Wang, Chao Li, Bowen He, Jianpeng Zong, Yawen Wang, Hong jin Fan, Hongxing Xu, Yuhua Feng* and Hongyu Chen*",Angewandte Chemie-International Edition,2020,"59(49), 22246–22251",10.1002/anie.202010613
